x,y,z
1.4137756611,6.5399506206,19.2271598962
1.5154038771,6.5526817831,19.1440145696
1.6152917537,6.5674190899,19.0626699793
1.7135134034,6.5841551366,18.9831063838
1.8101413199,6.6028820408,18.9053061104
1.9052464012,6.6235915026,18.8292534860
1.9988979731,6.6462748587,18.7549347716
2.0911638141,6.6709231313,18.6823380998
2.1821101798,6.6975270719,18.6114534154
2.2718018288,6.7260772002,18.5422724189
2.3603020474,6.7565638387,18.4747885140
2.4476726752,6.7889771428,18.4089967564
2.5339741314,6.8233071267,18.3448938072
2.6192654395,6.8595436856,18.2824778869
2.7036042535,6.8976766144,18.2217487343
2.7870468822,6.9376956229,18.1627075665
2.8696483155,6.9795903468,18.1053570413
2.9514622484,7.0233503568,18.0497012224
3.0325411054,7.0689651642,17.9957455467
3.1129360647,7.1164242229,17.9434967936
3.1926970821,7.1657169291,17.8929630559
3.2718729129,7.2168326194,17.8441537135
3.3505111358,7.2697605639,17.7970794080
3.4286581741,7.3244899589,17.7517520188
3.5063593168,7.3810099162,17.7081846418
3.5836587397,7.4393094504,17.6663915687
3.6605995258,7.4993774633,17.6263882673
3.7372236829,7.5612027271,17.5881913643
3.8135721642,7.6247738642,17.5518186277
3.8896848847,7.6900793257,17.5172889510
3.9656007380,7.7571073681,17.4846223385
4.0413576137,7.8258460261,17.4538398903
4.1169924110,7.8962830860,17.4249637893
4.1925410542,7.9684060553,17.3980172877
4.2680385062,8.0422021299,17.3730246941
4.3435187799,8.1176581623,17.3500113615
4.4190149516,8.1947606233,17.3290036747
4.4945591697,8.2734955664,17.3100290381
4.5701826659,8.3538485873,17.2931158637
4.6459157637,8.4358047818,17.2782935584
4.7217878846,8.5193487045,17.2655925116
4.7978275573,8.6044643208,17.2550440812
4.8740624207,8.6911349628,17.2466805812
4.9505192305,8.7793432785,17.2405352658
5.0272238611,8.8690711818,17.2366423153
5.1042013092,8.9602998010,17.2350368193
5.1814756946,9.0530094227,17.2357547592
5.2590702598,9.1471794389,17.2388329903
5.3370073704,9.2427882861,17.2443092210
5.4153085112,9.3398133896,17.2522219920
