x,y,z
-8.3462863310,-6.8730166263,28.6706201861
-8.2003511554,-6.7574760001,28.4723986963
-8.0582033791,-6.6604811026,28.2611760969
-7.9212568725,-6.5821901096,28.0393601876
-7.7907957386,-6.5225546693,27.8092979522
-7.6679687160,-6.4813550636,27.5732562559
-7.5537873956,-6.4582337703,27.3334092478
-7.4491276722,-6.4527262615,27.0918315100
-7.3547338228,-6.4642882247,26.8504959486
-7.2712245915,-6.4923186739,26.6112754166
-7.1991006854,-6.5361787173,26.3759471064
-7.1387531271,-6.5952059153,26.1461988458
-7.0904719762,-6.6687243579,25.9236365348
-7.0544549735,-6.7560506820,25.7097920375
-7.0308157573,-6.8564963319,25.5061309871
-7.0195913431,-6.9693664173,25.3140599974
-7.0207486308,-7.0939555442,25.1349328777
-7.0341897702,-7.2295409981,24.9700554951
-7.0597562499,-7.3753736831,24.8206889503
-7.0972316464,-7.5306671981,24.6880507946
-7.1463429945,-7.6945854684,24.5733139908
-7.2067608009,-7.8662293435,24.4776033813
-7.2780977465,-8.0446226255,24.4019893937
-7.3599061763,-8.2286980138,24.3474787772
-7.4516745095,-8.4172835337,24.3150021563
-7.5528227453,-8.6090900584,24.3053982646
-7.6626972939,-8.8027006464,24.3193947781
-7.7805654008,-8.9965624676,24.3575857699
-7.9056094947,-9.1889821956,24.4204059635
-8.0369218410,-9.3781257977,24.5081021085
-8.1734999338,-9.5620236869,24.6207020538
-8.3142431165,-9.7385822043,24.7579823285
-8.4579509606,-9.9056023243,24.9194353345
-8.6033239565,-10.0608063226,25.1042375683
-8.7489670847,-10.2018729111,25.3112205847
-8.8933968078,-10.3264809887,25.5388466932
-9.0350519672,-10.4323616949,25.7851915810
-9.1723089638,-10.5173578885,26.0479361589
-9.3035014557,-10.5794895270,26.3243698733
-9.4269446012,-10.6170227410,26.6114074890
-9.5409636333,-10.6285397265,26.9056208963
-9.6439262676,-10.6130059958,27.2032868138
-9.7342781430,-10.5698311183,27.5004503698
-9.8105801920,-10.4989189203,27.7930034928
-9.8715465626,-10.4007032629,28.0767758998
-9.9160815010,-10.2761660301,28.3476353481
-9.9433134685,-10.1268348274,28.6015928299
-9.9526247543,-9.9547590793,28.8349076707
-9.9436749475,-9.7624646238,29.0441871361
-9.9164168746,-9.5528884153,29.2264752467
-9.8711039617,-9.3292963929,29.3793260535
-9.8082884362,-9.0951888089,29.5008576094
-9.7288102900,-8.8541981868,29.5897841902
-9.6337774521,-8.6099855105,29.6454258349
-9.5245381092,-8.3661401844,29.6676958242
-9.4026465284,-8.1260887770,29.6570681434
-9.2698240438,-7.8930166515,29.6145281339
-9.1279170440,-7.6698054047,29.5415103430
-8.9788538393,-7.4589877347,29.4398279723
-8.8246022015,-7.2627200691,29.3115983303
-8.6671291677,-7.0827721327,29.1591683488
-8.5083644300,-6.9205317055,28.9850436231
-8.3501682997,-6.7770221636,28.7918236708
-8.1943048969,-6.6529300211,28.5821452838
-8.0424208790,-6.5486395786,28.3586350392
-7.8960297202,-6.4642718859,28.1238713233
-7.7565013002,-6.3997254983,27.8803556303
-7.6250563609,-6.3547168762,27.6304924567
-7.5027652462,-6.3288187024,27.3765768133
-7.3905502519,-6.3214948259,27.1207882024
-7.2891908804,-6.3321309503,26.8651898704
-7.1993312819,-6.3600605246,26.6117321391
-7.1214892158,-6.4045856239,26.3622587367
-7.0560658945,-6.4649928044,26.1185151244
-7.0033561723,-6.5405641191,25.8821579895
-6.9635585833,-6.6305835887,25.6547651532
-6.9367848362,-6.7343394916,25.4378453033
-6.9230684425,-6.8511228882,25.2328470405
-6.9223722099,-6.9802228061,25.0411667999
-6.9345944285,-7.1209185040,24.8641553014
-6.9595736011,-7.2724692442,24.7031221798
-6.9970916514,-7.4341019771,24.5593385176
-7.0468755666,-7.6049973593,24.4340369724
-7.1085974928,-7.7842745238,24.3284092375
-7.1818733273,-7.9709750606,24.2436005395
-7.2662599037,-8.1640466977,24.1807009242
-7.3612508993,-8.3623272465,24.1407330594
-7.4662716415,-8.5645294411,24.1246363612
-7.5806730401,-8.7692274152,24.1332472745
-7.7037249198,-8.9748456367,24.1672756612
-7.8346090938,-9.1796512565,24.2272773719
-7.9724125739,-9.3817508998,24.3136232512
-8.1161213792,-9.5790930088,24.4264650805
-8.2646154751,-9.7694768817,24.5656992193
-8.4166654207,-9.9505695097,24.7309290429
-8.5709313552,-10.1199311950,24.9214276430
-8.7259649764,-10.2750507167,25.1361026133
-8.8802151572,-10.4133904497,25.3734651085
-9.0320378019,-10.5324413594,25.6316056587
-9.1797104503,-10.6297871715,25.9081794115
-9.3214519864,-10.7031762827,26.2004035077
-9.4554476034,-10.7505991646,26.5050691182
-9.5798789026,-10.7703681879,26.8185702424
-9.6929586889,-10.7611960359,27.1369506613
-9.7929696726,-10.7222682837,27.4559694632
-9.8783059204,-10.6533054000,27.7711843588
-9.9475155593,-10.5546094624,28.0780506458
-9.9993429481,-10.4270913447,28.3720323082
-10.0327683392,-10.2722750435,28.6487204709
