x,y,z
-1.5960189771,0.2756339913,23.1736376246
-1.4217638274,0.1959996483,22.5603271780
-1.2716297686,0.1173314726,21.9645847491
-1.1431925943,0.0403311442,21.3856612723
-1.0342084400,-0.0346269890,20.8228800169
-0.9426243906,-0.1074280480,20.2756310365
-0.8665821962,-0.1781604642,19.7433641332
-0.8044168045,-0.2470702169,19.2255815217
-0.7546511271,-0.3145241687,18.7218309075
-0.7159882053,-0.3809812693,18.2316993650
-0.6873017153,-0.4469704913,17.7548081958
-0.6676255613,-0.5130744785,17.2908088105
-0.6561431418,-0.5799180046,16.8393796081
-0.6521767403,-0.6481604582,16.4002237903
-0.6551773770,-0.7184916845,15.9730680383
-0.6647153700,-0.7916306180,15.5576619873
-0.6804717803,-0.8683262354,15.1537784525
-0.7022308577,-0.9493604464,14.7612143804
-0.7298735623,-1.0355526129,14.3797925281
-0.7633721999,-1.1277654528,14.0093639033
-0.8027861909,-1.2269121399,13.6498110273
-0.8482589671,-1.3339644558,13.3010521197
-0.9000159880,-1.4499618841,12.9630463392
-0.9583638520,-1.5760215631,12.6358002594
-1.0236904783,-1.7133490256,12.3193758031
-1.0964663294,-1.8632496571,12.0138999160
-1.1772466381,-2.0271407933,11.7195763222
-1.2666746019,-2.2065643482,11.4366997785
-1.3654854938,-2.4031998194,11.1656733307
-1.4745116294,-2.6188774406,10.9070291713
-1.5946881064,-2.8555911496,10.6614538155
-1.7270592058,-3.1155108905,10.4298184350
-1.8727852941,-3.4009935660,10.2132153330
-2.0331500089,-3.7145916843,10.0130016909
-2.2095674207,-4.0590583754,9.8308518659
-2.4035887438,-4.4373469714,9.6688196544
-2.6169080092,-4.8526027063,9.5294120274
-2.8513658991,-5.3081432702,9.4156758669
-3.1089506567,-5.8074239012,9.3312991051
-3.3917946177,-6.3539813704,9.2807273195
-3.7021644328,-6.9513495889,9.2692961250
-4.0424424524,-7.6029376076,9.3033784500
-4.4150960000,-8.3118585402,9.3905437239
-4.8226303621,-9.0806955237,9.5397227991
-5.2675202879,-9.9111885035,9.7613676628
-5.7521136489,-10.8038238965,10.0675881533
-6.2784997784,-11.7573089087,10.4722384677
-6.8483340790,-12.7679148261,10.9909138551
-7.4626101077,-13.8286810250,11.6408025126
-8.1213710622,-14.9284865724,12.4403202375
-8.8233551529,-16.0510224187,13.4084381087
-9.5655749085,-17.1737382258,14.5636014646
-10.3428401125,-18.2668956719,15.9221396952
-11.1472492007,-19.2929338691,17.4960935866
-11.9676950411,-20.2064330927,19.2904555068
-12.7894573308,-20.9550299453,21.2999424222
-13.5939820291,-21.4816542034,23.5056094833
-14.3589708989,-21.7283755617,25.8718462366
-15.0589101572,-21.6419179690,28.3445267901
-15.6661423652,-21.1804986989,30.8512129078
-16.1525182883,-20.3211239273,33.3042105792
-16.4915538746,-19.0659654981,35.6068538847
-16.6608781000,-17.4461814948,37.6626347649
-16.6446278437,-15.5217552251,39.3858842607
-16.4353763403,-13.3767035428,40.7119726369
-16.0352143865,-11.1101804179,41.6047991940
-15.4557480677,-8.8251636617,42.0598801390
-14.7169978705,-6.6170853967,42.1024792821
-13.8454117606,-4.5646691226,41.7815295587
-12.8713658610,-2.7244428725,41.1610576870
-11.8265773949,-1.1292828997,40.3111373824
-10.7417975374,0.2096461870,39.3000694046
-9.6450252138,1.2987546485,38.1887827777
-8.5603379886,2.1569840285,37.0277018196
-7.5073145503,2.8108948273,35.8557655856
-6.5009456603,3.2905282415,34.7010043127
-5.5518979180,3.6263080331,33.5820342213
-4.6669964417,3.8469755199,32.5099357891
-3.8498142819,3.9783978189,31.4901413844
-3.1012855858,4.0430339167,30.5241142280
-2.4202879837,4.0598492907,29.6107224429
-1.8041631527,4.0445061101,28.7472927215
-1.2491617734,4.0097007597,27.9303735826
-0.7508105625,3.9655616223,27.1562581748
